"filename", "language", "TypeScript", "XML", "JSON", "SCSS", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/passrec/passrec.page.scss", "SCSS", 0, 0, 0, 99, 0, 0, 0, 3, 102
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/passrec/passrec.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/passrec/passrec.page.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy.page.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 3, 10
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/privacy/privacy.page.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile.page.html", "HTML", 0, 0, 0, 0, 0, 101, 4, 12, 117
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile.page.scss", "SCSS", 0, 0, 0, 168, 0, 0, 2, 9, 179
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/profile/profile.page.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 3, 13, 94
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register.page.html", "HTML", 0, 0, 0, 0, 0, 84, 1, 7, 92
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register.page.scss", "SCSS", 0, 0, 0, 132, 0, 0, 6, 12, 150
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register/register.page.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 1, 16, 123
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2.page.html", "HTML", 0, 0, 0, 0, 0, 62, 1, 6, 69
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2.page.scss", "SCSS", 0, 0, 0, 132, 0, 0, 4, 10, 146
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register2/register2.page.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 5, 17, 107
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3.page.html", "HTML", 0, 0, 0, 0, 0, 51, 11, 4, 66
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3.page.scss", "SCSS", 0, 0, 0, 167, 0, 0, 11, 10, 188
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/register3/register3.page.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 31, 30, 130
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete.page.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 4, 35
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete.page.scss", "SCSS", 0, 0, 0, 137, 0, 0, 6, 5, 148
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/registercomplete/registercomplete.page.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails.page.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 5, 24
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails.page.scss", "SCSS", 0, 0, 0, 109, 0, 0, 0, 5, 114
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routedetails/routedetails.page.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 4, 15, 71
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory.page.html", "HTML", 0, 0, 0, 0, 0, 102, 8, 21, 131
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory.page.scss", "SCSS", 0, 0, 0, 374, 0, 0, 3, 9, 386
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routehistory/routehistory.page.ts", "TypeScript", 219, 0, 0, 0, 0, 0, 15, 29, 263
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routelist/routelist-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routelist/routelist.module.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routelist/routelist.page.html", "HTML", 0, 0, 0, 0, 0, 101, 196, 17, 314
"/Users/gregd/Desktop/Gregs Workspace/Work/TravelSoft/ibus driver xristos/iBus-Driver-Application-v1/src/app/routelist/routelist.page.scss", "SCSS", 0, 0, 0, 388, 0, 0, 20, 13, 421
